,Unique_Locations,categories
172,Bommasandra Industrial Area,0
173,Cooke Town,0
174,Kammanahalli,0
175,5th Phase JP Nagar,0
176,Bisuvanahalli,0
177,1st Phase JP Nagar,0
178,Shampura,0
179,BTM Layout,0
180,Iblur Village,0
181,Choodasandra,0
182,Banashankari Stage III,0
183,EPIP Zone,0
184,Ulsoor,0
185,Poorna Pragna Layout,0
186,Kaggalipura,0
187,Sanjay nagar,0
188,Jalahalli East,0
189,Chikkabanavar,0
190,Gunjur,0
191,Amruthahalli,0
192,Kothannur,0
193,Nagavara,0
194,Hoskote,0
195,Budigere,0
196,Thubarahalli,0
197,Gubbalala,0
198,Lakshminarayana Pura,0
199,Kodigehalli,0
200,ISRO Layout,0
201,Nagasandra,0
202,Jakkur,0
203,Varthur Road,0
204,Ambalipura,0
205,Basavangudi,0
206,Kalyan nagar,0
207,Channasandra,0
208,Balagere,0
209,Chikka Tirupathi,0
210,Pai Layout,0
211,HRBR Layout,0
212,Konanakunte,0
213,Sonnenahalli,0
214,Begur,0
215,Vasanthapura,0
216,Cunningham Road,0
217,Sarakki Nagar,0
218,Kodigehaali,0
219,Narayanapura,0
220,Arekere,0
